Rep_Code,Order_Source,Order_Type,Order_Num,Customer_Number,Subcategory,Product_Code,Brand,Subseries,Revenue,Quantity,Invoice_Date,Order_Date,Segment,category
Rep006,E,RO,2DEKL3,3321,WB,P7,B5,Power cables,3650,3,08APR2009:12:00:00 AM,19MAR2009:12:00:00 AM,Private Sector,Y
Rep009,E,RO,2DEMMJ,6411,DI,P8,B2,Hard Drives,932,3,09APR2009:12:00:00 AM,20MAR2009:12:00:00 AM,Others,A
Rep007,E,RO,2DEMMJ,6411,Y,P6,B3,Speakers,1830,1,10APR2009:12:00:00 AM,20MAR2009:12:00:00 AM,Public sector,A
Rep001,S,RO,2DEMMJ,6411,XI,P7,B4,Power cables,3932,2,11APR2009:12:00:00 AM,20MAR2009:12:00:00 AM,Large Enterprise,D
Rep002,E,RO,2DEMMJ,6411,SI,P5,B1,Printers,1863,1,12APR2009:12:00:00 AM,20MAR2009:12:00:00 AM,Public sector,M
Rep004,S,RO,2DEMY8,2040,CA,P8,B5,Hard Drives,3556,4,13APR2009:12:00:00 AM,20MAR2009:12:00:00 AM,Others,X
Rep004,S,RO,2DEMY8,2040,3B,P10,B1,Power Adaptors,3406,1,14APR2009:12:00:00 AM,20MAR2009:12:00:00 AM,Private Sector,Y
Rep008,E,RO,2DH3PW,8700,DI,P5,B1,Printers,1425,3,15APR2009:12:00:00 AM,15APR2009:12:00:00 AM,Public sector,A
Rep007,S,RO,2DH3PW,8700,2I,P4,B2,Keyboards,4792,4,16APR2009:12:00:00 AM,15APR2009:12:00:00 AM,Public sector,G
Rep001,S,BO,2DCYC6,1768,UN,P2,B5,Headsets & Microphones,4243,2,17APR2009:12:00:00 AM,23FEB2009:12:00:00 AM,Public sector,W
Rep010,E,BO,2DCYC6,1768,3B,P7,B3,Power cables,3344,4,18APR2009:12:00:00 AM,23FEB2009:12:00:00 AM,Private Sector,Y
Rep009,E,RO,2DADPW,7521,TL,P1,B5,Batteries,1352,2,19APR2009:12:00:00 AM,28JAN2009:12:00:00 AM,Private Sector,W
Rep009,E,RO,2DADPW,7521,3B,P2,B3,Headsets & Microphones,2726,2,20APR2009:12:00:00 AM,28JAN2009:12:00:00 AM,Public sector,Y
